                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8815,                 4.2901,                  2.279,                 1.7463,                 10.838,                 2.0531,                0.00325,                0.22222,                0.00339,                0.00158,                  1.553,                 3.3919,                 1.8023,                 1.6478,                 14.831,                 1.8811,                0.00024,                0.00024,                0.00024
                      2,                 2.0685,                 2.9726,                 2.3262,                 1.9301,                 5.6202,                 2.0297,                0.00182,                0.22222,                0.00115,                0.00016,                 3.0825,                 7210.6,                 135.13,                 4.4191,                 1900.9,                 45.453,              0.0004901,              0.0004901,              0.0004901
                      3,                  2.287,                 3.0565,                 2.4111,                 2.1401,                 4.0163,                 2.1766,                0.00182,                0.22222,                0.00115,                0.00016,                  3.346,             1.4638e+06,                 675.74,                 5.0988,             2.0832e+06,                 8901.6,              0.0007299,              0.0007299,              0.0007299
                      4,                 2.2216,                 2.7135,                 2.4691,                 1.9894,                 3.5631,                 2.1612,                0.00182,                0.22222,                0.00115,                0.00016,                 3.1341,             5.7887e+05,                 456.14,                 3.9758,             5.1484e+05,                 857.13,             0.00095941,             0.00095941,             0.00095941
                      5,                 2.3215,                 2.8418,                 2.5246,                 2.1335,                 3.1223,                 2.2914,                0.00182,                0.22222,                0.00115,                0.00016,                 3.0546,             1.0144e+05,                 82.617,                 6.0304,             6.1663e+05,                 967.29,              0.0011786,              0.0011786,              0.0011786
                      6,                  2.358,                 2.9827,                 2.5811,                 2.2086,                 3.4772,                 2.3531,                0.00037,                0.11111,                0.00021,                  8e-05,                 3.5673,             3.7394e+08,             2.0559e+05,                 4.2481,             4.6068e+07,              1.092e+05,              0.0013875,              0.0013875,              0.0013875
                      7,                 2.2326,                 2.5766,                 2.4606,                 2.2359,                 3.1389,                 2.2593,                0.00037,                0.11111,                0.00021,                  8e-05,                 2.8997,             5.5721e+06,                 3095.3,                 3.5864,             4.0656e+06,                 2575.7,              0.0015862,              0.0015862,              0.0015862
                      8,                 2.2414,                 2.5394,                 2.3774,                 2.1018,                 3.0171,                 2.1433,                0.00037,                0.11111,                0.00021,                  8e-05,                 4.8295,             1.3082e+05,                 4248.3,                 5.1605,             1.4174e+06,                 2191.7,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0863,                 2.3674,                 2.3987,                 2.0513,                 2.8948,                 2.1786,                0.00037,                0.11111,                0.00021,                  8e-05,                 4.3385,                  11487,                 46.298,                 4.5268,                 656.94,                 18.737,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.1339,                 2.3709,                  2.341,                 2.0397,                 2.9193,                 2.1534,                0.00037,                0.11111,                0.00021,                  8e-05,                 5.0387,                 8688.6,                 33.602,                 5.7328,                 1109.7,                 33.548,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.9699,                  2.063,                 2.2313,                 1.9441,                 2.5466,                 2.0493,                0.00042,                0.11111,                0.00022,                  7e-05,                 4.1428,                  11179,                 19.468,                 4.2718,                 7916.6,                 14.774,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.0406,                 2.2585,                  2.348,                 1.9892,                 2.9096,                 2.1725,                0.00042,                0.11111,                0.00022,                  7e-05,                 3.0729,                 3418.6,                 9.5882,                 5.1293,                 3377.6,                 18.354,               0.001604,               0.001604,               0.001604
                     13,                 1.8604,                 1.9371,                 2.2076,                 1.8691,                 2.4316,                 2.0875,                0.00037,                0.11111,                0.00021,                  8e-05,                 3.7673,                 102.97,                 4.1952,                 4.0364,                 67.151,                 4.0787,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.9436,                 2.0572,                 2.2384,                 1.9142,                  2.486,                 2.1328,                0.40064,                0.72222,                 0.3656,                0.21083,                 1.4916,                 19.706,                 2.1388,                 1.6392,                 26.725,                   2.01,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.9319,                 2.1433,                 2.2858,                 2.0124,                 2.6199,                 2.2339,                0.59472,                0.83333,                0.59099,                0.25844,                  1.414,                 11.097,                 2.0665,                 1.7474,                 16.019,                 2.1911,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.8454,                 1.9031,                 2.1526,                 1.9025,                 2.2847,                 2.0745,                 0.5451,                0.83333,                0.64764,                0.25975,                 1.3816,                 5.4115,                 1.9279,                  1.975,                 6.2073,                 2.4007,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.9274,                 1.9178,                 2.2367,                  1.973,                 2.2902,                 2.1651,                0.65373,                0.73464,                0.75815,                0.27449,                 1.4163,                 2.9763,                  1.835,                 1.6225,                 4.8463,                 2.0713,               0.001406,               0.001406,               0.001406
                     18,                  1.974,                 1.9828,                 2.2801,                 2.0249,                 2.4033,                 2.1711,                0.42391,                0.40953,                0.33108,                  0.113,                 1.8776,                 4.3552,                 2.2881,                 2.0523,                 3.3483,                 2.3582,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.9646,                 1.8824,                 2.2672,                 2.0686,                 2.2513,                 2.1904,                0.46826,                0.63657,                 0.4747,                  0.217,                 1.6675,                 3.0085,                 2.1697,                 1.8065,                 3.4006,                 2.2587,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.8978,                 1.8839,                 2.1277,                 1.9613,                 2.2221,                 2.0332,                0.76864,                0.44444,                0.55633,                0.23402,                 1.6756,                   5.07,                 1.9345,                 1.8833,                 4.4171,                 2.1497,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.8018,                 1.7636,                 2.0202,                 1.9039,                  2.026,                 1.9513,                0.59582,                0.22222,                0.21913,                0.11969,                  2.457,                 3.5038,                 2.8489,                 2.5196,                 3.7679,                  2.439,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7347,                 1.6681,                 2.0846,                 1.8752,                 1.9514,                 2.0653,                0.92087,                0.83333,                 0.8637,                0.47213,                 1.2697,                 2.8928,                 1.6537,                  1.478,                 2.6966,                 1.8208,               0.001208,               0.001208,               0.001208
                     23,                 1.8592,                 1.7388,                  2.116,                 1.9283,                 1.9998,                 2.0454,                0.85378,                    0.5,                 0.7042,                0.43166,                 1.2356,                 1.6914,                 1.6498,                 1.3488,                 2.1898,                 1.6549,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.8307,                 1.7536,                 2.1479,                  1.879,                 2.0257,                  2.009,                0.93001,                0.55556,                0.83431,                0.44374,                 1.5497,                  1.793,                 1.8486,                 1.5561,                 1.7905,                  1.772,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.7181,                 1.5985,                 2.0408,                 1.8213,                 1.9178,                  1.936,                0.75179,                0.83333,                0.87768,                0.59539,                 1.3024,                  1.219,                 1.6765,                  1.253,                 1.0967,                 1.6939,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.7243,                 1.5967,                 2.0227,                 1.6855,                  1.947,                 1.8781,                0.80718,                0.77778,                 0.8181,                0.53364,                 1.2604,                 1.1516,                 1.7745,                 1.2148,                 1.1036,                 1.6619,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.6573,                 1.5562,                 1.9616,                  1.731,                 1.8672,                 1.8795,                0.76254,                0.89217,                0.87352,                0.51757,                 1.3058,                 1.0534,                 1.6971,                 1.4637,                0.93278,                 1.6606,                0.00101,                0.00101,                0.00101
                     28,                 1.7393,                 1.5972,                 2.1039,                 1.7026,                 1.8839,                 1.9695,                0.87015,                0.66667,                0.79775,                0.49284,                  1.304,                 1.4314,                  1.702,                 1.3054,                 1.3593,                  1.632,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6211,                 1.4964,                  1.911,                 1.6776,                 1.7041,                 1.8382,                0.82234,                0.66667,                 0.7868,                0.40312,                 1.5399,                 1.4645,                 1.8259,                 1.4491,                 1.6333,                 1.7934,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6766,                 1.4909,                 1.9671,                  1.736,                 1.7141,                 1.8747,                0.81424,                0.38889,                 0.5223,                0.16806,                  1.919,                 2.3248,                 2.3441,                 1.9951,                 2.3701,                 2.1914,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.7001,                 1.5358,                 1.9732,                 1.7766,                 1.7344,                 1.9238,                0.84677,                0.92173,                0.94739,                0.53849,                 1.1917,                 1.2139,                 1.6646,                 1.4739,                 1.1931,                 1.7542,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.5817,                 1.4609,                 1.8746,                 1.6951,                 1.6585,                 1.8321,                0.93243,                0.76728,                0.86183,                0.49776,                 1.1944,                 1.1113,                 1.7088,                 1.4622,                 1.2895,                 1.7312,               0.000812,               0.000812,               0.000812
                     33,                 1.5863,                  1.245,                 1.8508,                 1.6766,                 1.3961,                  1.818,                0.81745,                0.74713,                0.86484,                0.43334,                 1.5372,                 1.1629,                  1.871,                 1.7237,                 1.1522,                 1.9642,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.6156,                  1.354,                  1.933,                 1.6854,                 1.5748,                 1.9092,                0.88889,                0.88889,                 0.9575,                  0.651,                 1.0792,                0.89937,                 1.5566,                 1.1884,                0.88368,                 1.5965,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5719,                 1.3454,                  1.843,                 1.6238,                 1.5513,                 1.7854,                0.85442,                0.88889,                 0.9226,                0.59685,                 1.0825,                0.85762,                 1.6115,                 1.2421,                0.89225,                 1.6445,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5536,                 1.3297,                 1.8462,                 1.7025,                 1.4896,                 1.8251,                0.81027,                0.94926,                0.92741,                0.62683,                 1.0833,                0.72031,                 1.5307,                 1.1756,                0.74056,                 1.5075,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5546,                 1.3264,                 1.8378,                 1.6932,                 1.5134,                 1.8056,                0.84579,                0.94444,                0.95156,                0.67146,                 1.0694,                0.70046,                 1.5383,                  1.154,                0.59389,                 1.5649,               0.000614,               0.000614,               0.000614
                     38,                  1.511,                 1.2247,                 1.8373,                 1.5874,                 1.4279,                 1.8265,                0.91066,                0.77778,                 0.8972,                0.58203,                 1.3689,                0.85067,                 1.7798,                 1.4359,                0.87419,                 1.7136,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.4619,                 1.1992,                 1.7811,                 1.5453,                 1.4151,                 1.7439,                0.87268,                0.88889,                0.91449,                0.62823,                 1.0378,                0.78829,                 1.4865,                  1.298,                0.69419,                  1.583,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5267,                 1.2173,                 1.8526,                 1.6218,                 1.4488,                  1.809,                 0.9309,                0.74943,                  0.899,                 0.6334,                 1.0661,                0.85018,                 1.5614,                 1.1858,                0.88468,                 1.5157,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4362,                0.95219,                 1.8018,                 1.5122,                  1.007,                 1.7719,                0.98495,                0.83333,                0.93641,                0.66813,                 1.0285,                0.74584,                 1.5444,                 1.0903,                0.69317,                 1.4751,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4023,                0.92124,                 1.8275,                 1.5713,                 1.0167,                 1.8103,                0.87416,                0.94444,                0.96527,                0.72616,                0.96749,                0.67796,                 1.4896,                0.94768,                0.58282,                 1.4692,               0.000416,               0.000416,               0.000416
                     43,                 1.4279,                0.88715,                 1.8437,                 1.4725,                0.87915,                 1.8228,                0.95331,                0.88889,                 0.9727,                0.72568,                0.92059,                0.62253,                 1.3886,                0.94262,                0.47173,                  1.451,              0.0003764,              0.0003764,              0.0003764
                     44,                  1.427,                0.84135,                 1.8311,                 1.4013,                0.94268,                 1.7864,                0.84861,                0.94444,                0.94024,                0.71145,                0.93882,                0.58259,                 1.4431,                  1.001,                0.55978,                 1.4293,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.3878,                 0.8828,                 1.8429,                 1.4893,                0.93058,                 1.8174,                0.87659,                      1,                0.95157,                0.65037,                 1.1584,                0.66605,                 1.5918,                 1.1937,                0.57034,                 1.5728,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4198,                0.86068,                  1.812,                 1.4416,                0.91729,                 1.7589,                0.93269,                0.77024,                0.93098,                0.65704,                 1.0307,                 0.6576,                 1.5183,                 1.0619,                0.62807,                 1.4648,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.3333,                0.84708,                  1.719,                 1.3286,                0.93546,                 1.6665,                0.93943,                0.86254,                0.95767,                0.72583,                0.81065,                0.59488,                 1.3687,                0.99276,                 0.5292,                 1.4414,               0.000218,               0.000218,               0.000218
                     48,                 1.3581,                0.85242,                  1.787,                 1.4033,                0.92152,                 1.7854,                  0.806,                0.94444,                0.93087,                0.68767,                0.84433,                0.59929,                 1.4467,                0.98318,                0.62275,                 1.4857,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3069,                 0.8276,                 1.6836,                 1.3582,                0.94564,                 1.6696,                0.82494,                0.88889,                0.94369,                0.70484,                0.86046,                 0.6085,                 1.4545,                 0.9689,                0.62394,                 1.4648,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.2728,                0.80624,                 1.7015,                 1.3903,                0.89981,                 1.7073,                0.93506,                0.80086,                0.94378,                0.71331,                0.89994,                0.59614,                 1.4617,                 0.9763,                0.55167,                 1.4606,               9.92e-05,               9.92e-05,               9.92e-05
